planes,sats_per_plane,inclination_deg,phase_factor,raan0_deg,phase0_deg,total_satellites,screen_score,min_multiplicity,spacetime_single_ratio,min_point_single_availability,spacetime_double_ratio,min_point_double_availability,max_gap_s,worst_time_index,worst_time_single_ratio,average_multiplicity,min_margin_deg,evaluation
36,31,52.0,9,0.0,0.0,1116,1.1308972916666666,0,0.9323003567811807,0.7361111111111112,0.6117041446792035,0.2777777777777778,3600.0,131,0.9108372194303567,2.0573992467281506,-4.36446872665254,coarse_3deg_600s
38,31,52.0,9,0.0,0.0,1178,1.1534543750000001,0,0.9567313260100578,0.7361111111111112,0.6569302827553529,0.3333333333333333,4200.0,97,0.9428632715961304,2.172723647180375,-4.36446872665254,coarse_3deg_600s
36,34,55.0,18,0.0,0.0,1224,1.1292964583333334,0,0.9274044567063524,0.7361111111111112,0.6441737519040313,0.3333333333333333,1200.0,27,0.9009313528123083,2.15557049858095,-4.36446872665254,coarse_3deg_600s
28,44,58.0,1,0.0,0.0,1232,1.1469247916666665,0,0.9491883737820574,0.7361111111111112,0.6655277535380192,0.3263888888888889,1200.0,39,0.9157917358758234,1.9073289788000594,-4.36446872665254,coarse_3deg_600s
41,31,60.0,10,0.0,0.0,1271,1.14900875,0,0.9501768202971602,0.7361111111111112,0.6544563133639105,0.3402777777777778,4200.0,87,0.9307672473908162,1.8406728781929484,-4.36446872665254,coarse_3deg_600s
28,43,58.0,27,0.0,0.0,1204,1.14499125,0,0.9458801725265774,0.7291666666666666,0.6547976486218463,0.2986111111111111,1200.0,113,0.9317897604634645,1.8622545838322617,-4.36446872665254,coarse_3deg_600s
36,34,52.0,27,0.0,0.0,1224,1.168619375,0,0.9632969136235254,0.7291666666666666,0.7325442781114915,0.3125,1200.0,106,0.9514995129779258,2.256219170874996,-4.36446872665254,coarse_3deg_600s
28,44,58.0,27,0.0,0.0,1232,1.147966458333333,0,0.9525571700561959,0.7291666666666666,0.6703116506860203,0.3263888888888889,1200.0,21,0.9341584360230526,1.9054820225068936,-4.36446872665254,coarse_3deg_600s
41,31,58.0,10,0.0,0.0,1271,1.159165,0,0.9476876726079548,0.7291666666666666,0.6752139320321088,0.3680555555555556,4200.0,69,0.9280022614813552,1.9679892660136025,-4.36446872665254,coarse_3deg_600s
28,40,58.0,0,0.0,0.0,1120,1.12395625,0,0.9299537181392109,0.7222222222222222,0.5914032350752171,0.22916666666666666,3600.0,130,0.8788984979992256,1.7325689089769947,-4.36446872665254,coarse_3deg_600s
39,30,58.0,9,0.0,0.0,1170,1.1304874999999999,0,0.9380853567506513,0.7222222222222222,0.604767364622594,0.2361111111111111,2400.0,132,0.9132060949823044,1.8091498018571646,-4.36446872665254,coarse_3deg_600s
28,43,58.0,21,0.0,0.0,1204,1.1457724999999999,0,0.9465150406916977,0.7222222222222222,0.6625229030130794,0.2916666666666667,1800.0,44,0.9160232393437324,1.8606005081097454,-4.36446872665254,coarse_3deg_600s
35,34,52.0,26,0.0,0.0,1190,1.1646625,0,0.9659116541644038,0.7152777777777778,0.7058396282419144,0.3125,1200.0,140,0.9434092049359109,2.1947936978370124,-4.36446872665254,coarse_3deg_600s
28,44,55.0,0,0.0,0.0,1232,1.159555,0,0.9646662027977596,0.7152777777777778,0.7029190658611587,0.24305555555555555,1200.0,118,0.9447841272373148,2.1688105522503682,-4.36446872665254,coarse_3deg_600s
42,30,58.0,1,0.0,0.0,1260,1.15224375,0,0.9523686123245209,0.7152777777777778,0.681046145699603,0.2777777777777778,2400.0,91,0.8721133216622494,1.9484110689485479,-4.36446872665254,coarse_3deg_600s
28,43,58.0,1,0.0,0.0,1204,1.1447308333333333,0,0.9435754214754082,0.7083333333333334,0.6511403570304205,0.2986111111111111,1800.0,143,0.9226399013494175,1.8672624063958603,-4.36446872665254,coarse_3deg_600s
33,35,52.0,0,0.0,0.0,1155,1.1710020833333334,0,0.9463871154749093,0.7013888888888888,0.6976776877783042,0.3888888888888889,1800.0,56,0.9063084753254309,2.1286979566709743,-4.36446872665254,coarse_3deg_600s
28,43,58.0,14,0.0,0.0,1204,1.1478558333333333,0,0.9365806848399427,0.7013888888888888,0.6595486024693148,0.2638888888888889,1800.0,97,0.920174457431758,1.853785680715383,-4.36446872665254,coarse_3deg_600s
39,32,55.0,9,0.0,0.0,1248,1.1587439583333332,0,0.9470779788945133,0.7013888888888888,0.6786426914031156,0.3819444444444444,1800.0,71,0.9139258476410704,2.197624306846322,-4.36446872665254,coarse_3deg_600s
36,34,55.0,27,0.0,0.0,1224,1.1549475,0,0.9514415332911457,0.6875,0.6808885517763029,0.2152777777777778,1200.0,141,0.9247806454003873,2.156949174198951,-4.36446872665254,coarse_3deg_600s
28,45,58.0,27,0.0,0.0,1260,1.1579729166666668,0,0.956367083654846,0.6805555555555556,0.6812421095238265,0.3472222222222222,1800.0,26,0.9352616945401129,1.9488949505968174,-4.36446872665254,coarse_3deg_600s
28,45,58.0,1,0.0,0.0,1260,1.1544572916666667,0,0.9560443031246272,0.6666666666666666,0.6841101096676956,0.3402777777777778,1800.0,33,0.9404986185719971,1.9499623239817327,-4.36446872665254,coarse_3deg_600s
